rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad
2850,kohila miniarena,kohila spordikeskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kohila vallavalitsus,75018851,kohaliku omavalitsuse üksus,kohila vallavalitsus,75018851,59.1689881,24.75650207,raplamaa,71,kohila,kohila alev,3268,0,11318,kohila miniarena,väga hea,"jalgpall, korvpall, võrkpall",0.0,2007.0,30.0
5555,kohila mõisakooli multifunktsionaalne palliväljak,0,välispalliväljak,kinnisasi,mittetulundusühing,mittetulundusühing miikaeli ühendus,80017581,mittetulundusühing,mittetulundusühing miikaeli ühendus,80017581,59.17306537,24.74862776,raplamaa,71,kohila,kohila alev,3268,20,11486,kohila mõisakooli multifunktsionaalne palliväljak,hea,"korvpall, jalgpall",0.0,2020.0,3.0
2845,kohila rannavõrkpalliväljakud,kohila rannavollekeskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kohila vallavalitsus,75018851,mittetulundusühing,spordiklubi neemeco,80256601,59.16458924,24.75870008,raplamaa,71,kohila,kohila alev,3268,15,12320,multifunktsionaalne palliväljak,väga hea,"rannavõrkpall, rannajalgpall, sulgpall, petank",2012.0,2000.0,40.0
2847,kohila spordikeskuse staadion,kohila spordikeskus,staadion,kinnisasi,kohaliku omavalitsuse üksus,kohila vallavalitsus,75018851,kohaliku omavalitsuse üksus,kohila spordikeskus,75031828,59.167918,24.753195,raplamaa,71,kohila,kohila alev,3268,0,5805,staadion,hea,"jalgpall, kergejõustik",2006.0,1970.0,0.0
854,kohtla-järve ahtme põhikooli võimla,kohtla-järve ahtme põhikool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve ahtme põhikool,75008999,59.324146,27.42901,ida-virumaa,45,kohtla-järve,ahtme linnaosa,120,50,354,kohtla-järve ahtme põhikooli võimla,rahuldav,"võrkpall, saalijalgpall, käsipall, korvpall",2005.0,1962.0,25.0
868,kohtla-järve järve kooli staadion ja palliväljakud,kohtla-järve järve kool,"muu vabas õhus asuv spordiobjekt, staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve järve kool,75008982,59.399307,27.292603,ida-virumaa,45,kohtla-järve,järve linnaosa,265,0,1401,staadion,väga hea,"kergejõustik, jalgpall",2015.0,1971.0,15.0
860,kohtla-järve maleva põhikooli staadion ja korvpalliväljak,kohtla-järve maleva põhikool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve maleva põhikool,75009007,59.3264,27.426388,ida-virumaa,45,kohtla-järve,ahtme linnaosa,120,0,97,staadion,mitterahuldav,"kergejõustik, jalgpall",0.0,1980.0,20.0
859,kohtla-järve maleva põhikooli võimla,kohtla-järve maleva põhikool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve maleva põhikool,75009007,59.327195,27.425743,ida-virumaa,45,kohtla-järve,ahtme linnaosa,120,28,948,võimla,hea,"korvpall, karate, taekwondo itf, võrkpall, saalihoki, saalijalgpall",2018.0,1980.0,20.0
5720,kohtla-järve noortekeskuse spordiväljak,kohtla-järve noortekeskus,"muu vabas õhus asuv spordiobjekt, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve noortekeskus,75030823,59.33273626,27.41842301,ida-virumaa,45,kohtla-järve,ahtme linnaosa,120,0,11695,jalgpalliväljak,rahuldav,jalgpall,0.0,1987.0,0.0
853,kohtla-järve slaavi põhikooli staadion,kohtla-järve slaavi põhikool,staadion,kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve slaavi põhikool,75006167,59.405991,27.290972,ida-virumaa,45,kohtla-järve,järve linnaosa,265,30,1624,staadion,rahuldav,"jalgpall, kergejõustik",0.0,1965.0,0.0
839,kohtla-järve spordikeskuse jalgpalliväljakud,kohtla-järve spordikeskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve spordikeskus,75002749,59.394691,27.279718,ida-virumaa,45,kohtla-järve,järve linnaosa,265,0,4860,jalgpalliväljakud,rahuldav,jalgpall,0.0,1985.0,0.0
873,kohtla-järve spordikeskuse kergejõustikuhalli pallimänguväljak,kohtla-järve spordikeskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve spordikeskus,75002749,59.326623,27.422095,ida-virumaa,45,kohtla-järve,ahtme linnaosa,120,0,3512,multifunktsionaalne palliväljak,hea,"korvpall, jalgpall, käsipall",0.0,2009.0,0.0
848,kohtla-järve spordikeskuse kunstmurukattega jalgpalliväljak,kohtla-järve spordikeskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve spordikeskus,75002749,59.39728976,27.27340815,ida-virumaa,45,kohtla-järve,järve linnaosa,265,0,2346,jalgpalliväljak,väga hea,jalgpall,2020.0,1956.0,0.0
841,kohtla-järve spordikeskuse staadion,kohtla-järve spordikeskus,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve spordikeskus,75002749,59.397359,27.259226,ida-virumaa,45,kohtla-järve,järve linnaosa,265,0,164,staadion,rahuldav,"kergejõustik, jalgpall",1987.0,1938.0,0.0
863,kohtla-järve tammiku põhikooli staadion,kohtla-järve tammiku põhikool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kohtla-järve linnavalitsus,75001017,kohaliku omavalitsuse üksus,kohtla-järve tammiku põhikool,75008976,59.331375,27.417133,ida-virumaa,45,kohtla-järve,ahtme linnaosa,120,0,903,staadion ,rahuldav,"jalgpall, kergejõustik",0.0,1991.0,0.0
300,kohtla-nõmme kooli staadion,kohtla-nõmme kool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,toila vallavalitsus,75001477,kohaliku omavalitsuse üksus,kohtla-nõmme kool,75038536,59.354822,27.194016,ida-virumaa,45,toila,kohtla-nõmme alev,3265,0,2106,staadion,väga hea,"jalgpall, kergejõustik",2021.0,1960.0,0.0
380,koigi spordi- ja mänguväljak,koigi spordihoone,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,kohaliku omavalitsuse üksus,järva valla spordikeskus,75008963,58.835553,25.754893,järvamaa,52,järva,koigi küla,3282,0,71,jalgpalliväljak,väga hea,jalgpall,2020.0,2009.0,0.0
1020,kolga kooli staadion,kolga kool,staadion,kinnisasi,kohaliku omavalitsuse üksus,kuusalu vallavalitsus,75033496,kohaliku omavalitsuse üksus,kolga kool,75025963,59.491623,25.599003,harjumaa,37,kuusalu,kolga alevik,3336,0,2126,staadion,väga hea,"kergejõustik, jalgpall",2019.0,1988.0,0.0
1109,kolga-jaani staadion ja palliväljakud,kolga-jaani spordiobjektid,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,viljandi vallavalitsus,75038606,kohaliku omavalitsuse üksus,viljandi vallavalitsus,75038606,58.531907,25.944643,viljandimaa,84,viljandi vald,kolga-jaani alevik,3340,0,3728,staadion,rahuldav,"jalgpall, kergejõustik",2008.0,1987.0,0.0
3638,kolkja staadion,kolkja lasteaed-põhikool,staadion,kinnisasi,kohaliku omavalitsuse üksus,peipsiääre vallavalitsus,77000192,kohaliku omavalitsuse üksus,peipsiääre vallavalitsus,77000192,58.549942,27.212765,tartumaa,79,peipsiääre,kolkja alevik,3350,0,11324,staadion,väga hea,"jalgpall, kergejõustik",2021.0,2015.0,0.0
803,kõmsi lasteaed-algkooli jalgpalliväljak,kõmsi lasteaed-algkool,staadion,kinnisasi,kohaliku omavalitsuse üksus,lääneranna vallavalitsus,77000298,kohaliku omavalitsuse üksus,kõmsi lasteaed-algkool,75014050,58.624566,23.6348,pärnumaa,68,lääneranna,kõmsi küla,3765,0,445,kõmsi lasteaed-algkooli jalgpalliväljak,mitterahuldav,"jalgpall, kergejõustik",1999.0,1998.0,10.0
1903,konesko türi spordihoone staadion ja korvpalliväljak,konesko türi spordihoone,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,türi vallavalitsus,75033460,mittetulundusühing,türi spordiklubide liit,80049061,58.810666,25.433092,järvamaa,52,türi,türi linn,8594,0,3142,staadion ,hea,"kergejõustik, jalgpall",2020.0,1971.0,0.0
1096,koonga kooli staadion,koonga kool,staadion,kinnisasi,kohaliku omavalitsuse üksus,lääneranna vallavalitsus,77000298,kohaliku omavalitsuse üksus,koonga kool,75003520,58.578827,24.152863,pärnumaa,68,lääneranna,koonga küla,3407,0,4934,staadion,hea,"jalgpall, kergejõustik",2007.0,1958.0,10.0
667,koosa mängude maja,koosa mängude maja,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,peipsiääre vallavalitsus,77000192,sihtasutus,sihtasutus vara sport,90007661,58.52575647,27.07494209,tartumaa,79,peipsiääre,koosa küla,3425,20,2059,pallimängude saal,väga hea,"korvpall, sulgpall, võrkpall, lauatennis, saalijalgpall, indiaca, käsipall",2017.0,1988.0,20.0
668,koosa spordiväljak,koosa mängude maja,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,peipsiääre vallavalitsus,77000192,sihtasutus,sihtasutus vara sport,90007661,58.52550172,27.07469638,tartumaa,79,peipsiääre,koosa küla,3425,0,2065,jalgpalliväljak,hea,jalgpall,2012.0,1987.0,0.0
3888,kopli palliväljakud,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,tallinna linnavaraamet,75023757,kohaliku omavalitsuse üksus,tallinna linnavaraamet,75023757,59.452748,24.712493,harjumaa,37,tallinn,põhja-tallinna linnaosa,614,0,8487,jalgpalliväljak,rahuldav,jalgpall,2021.0,2009.0,20.0
1476,kõpu õppekompleksi spordiväljak,hiiumaa sotsiaalkeskus,"muu spordiplats, sportliku liikumise püsirada, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,hiiumaa sotsiaalkeskus,75028269,58.90623333,22.21555,hiiumaa,39,hiiumaa,kõpu küla,3781,0,1072,jalgpalliväljak,rahuldav,jalgpall,0.0,2010.0,10.0
2784,kõpu spordihoone jalgpalliväljak,kõpu spordihoone,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,põhja-sakala vallavalitsus,77000463,kohaliku omavalitsuse üksus,põhja-sakala vallavalitsus,77000463,58.319141,25.311084,viljandimaa,84,põhja-sakala,kõpu alevik,3782,0,5682,jalgpalliväljak,rahuldav,jalgpall,2012.0,2003.0,0.0
3185,kõrgessaare vaba aja keskuse jalgpalliväljak,kõrgessaare vaba aja keskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,kärdla kultuurikeskus,75009792,58.98235,22.467921,hiiumaa,39,hiiumaa,kõrgessaare alevik,3795,0,6900,jalgpalliväljak,väga hea,jalgpall,0.0,2013.0,0.0
2375,kõrveküla põhikooli staadion,kõrveküla põhikool,staadion,kinnisasi,kohaliku omavalitsuse üksus,tartu vallavalitsus,75006486,kohaliku omavalitsuse üksus,tartu valla spordikool,75033537,58.424776,26.762846,tartumaa,79,tartu vald,kõrveküla alevik,3825,60,3997,staadion,väga hea,"kergejõustik, jalgpall",2022.0,1952.0,20.0
165,kose gümnaasiumi staadion ja palliplatsid,kose gümnaasium,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,kohaliku omavalitsuse üksus,kose gümnaasium,75011553,59.184834,25.162393,harjumaa,37,kose,kose alevik,3460,0,3053,staadion,rahuldav,"kergejõustik, jalgpall",2018.0,2007.0,0.0
3111,kose kultuurikeskuse pallimängude saal,0,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,59.183539,25.166314,harjumaa,37,kose,kose alevik,3460,40,6631,pallimängude saal,hea,"tennis, sulgpall, korvpall, võrkpall, saalijalgpall",0.0,2013.0,20.0
3419,kose multifunktsionaalne spordiväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,57.812899,27.033684,võrumaa,87,võru vald,kose alevik,3462,0,7478,multifunktsionaalne palliväljak,väga hea,"jalgpall, korvpall, võrkpall, tennis",0.0,2015.0,8.0
2764,kose-uuemõisa lasteaed-kooli multifunktsionaalne palliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,kohaliku omavalitsuse üksus,kose-uuemõisa lasteaed-kool,75011576,59.204944,25.099651,harjumaa,37,kose,kose-uuemõisa alevik,3464,20,10024,multifunktsionaalne palliväljak,rahuldav,"korvpall, jalgpall",0.0,1990.0,8.0
1545,kose-uuemõisa staadion ja rannavõrkpalliplats,0,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,59.206155,25.100284,harjumaa,37,kose,kose-uuemõisa alevik,3464,0,4165,staadion ,rahuldav,"jalgpall, kergejõustik",0.0,1966.0,5.0
1823,kotka hall,kotka staadion,"võimla, spordihall, spordisaal",hoonestusõigus,mittetulundusühing,mittetulundusühing kotka staadion,80154869,mittetulundusühing,mittetulundusühing kotka staadion,80154869,59.40880361,24.72277312,harjumaa,37,tallinn,kristiine linnaosa,339,60,9690,kotka hall,väga hea,jalgpall,0.0,2006.0,75.0
102,kotka staadion,kotka staadion,"muu spordiplats, välispalliväljak",hoonestusõigus,mittetulundusühing,mittetulundusühing kotka staadion,80154869,mittetulundusühing,mittetulundusühing kotka staadion,80154869,59.40871,24.721009,harjumaa,37,tallinn,kristiine linnaosa,339,60,2133,kotka staadion,väga hea,jalgpall,2009.0,2002.0,75.0
595,kristiine spordihall,0,"muu hoones asuv spordiobjekt, siseujula, võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna kultuuri- ja spordiamet,77001435,kohaliku omavalitsuse üksus,kristiine sport,75016332,59.42058623,24.68663029,harjumaa,37,tallinn,kristiine linnaosa,339,160,907,suur saal,rahuldav,"korvpall, saalijalgpall, käsipall, saalihoki, võrkpall, tennis",1999.0,1991.0,40.0
753,krootuse põhikooli staadion,krootuse põhikool,"muu spordiplats, staadion, tenniseplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kanepi vallavalitsus,77000186,kohaliku omavalitsuse üksus,kanepi vallavalitsus,77000186,58.07124,26.842775,põlvamaa,64,kanepi,krootuse küla,3505,0,4162,staadion ,hea,"jalgpall, kergejõustik",2009.0,1989.0,0.0
711,kuldre kooli võimla,kuldre kool,"muu hoones asuv spordiobjekt, võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,antsla vallavalitsus,75010418,kohaliku omavalitsuse üksus,kuldre kool,75015485,57.89351479,26.50185987,võrumaa,87,antsla,kuldre küla,3575,40,1690,võimla,väga hea,"korvpall, võrkpall, saalijalgpall",2017.0,1996.0,20.0
1582,kullamaa keskkooli staadion,kullamaa keskkool,staadion,kinnisasi,kohaliku omavalitsuse üksus,lääne-nigula vallavalitsus,75038598,kohaliku omavalitsuse üksus,kullamaa keskkool,75026448,58.879991,24.079295,läänemaa,56,lääne-nigula,kullamaa küla,3587,0,730,kullamaa keskkooli staadion,rahuldav,"kergejõustik, jalgpall",2007.0,1967.0,15.0
4257,kunda linnastaadion,kunda spordikeskus,staadion,kinnisasi,kohaliku omavalitsuse üksus,viru-nigula vallavalitsus,75020500,kohaliku omavalitsuse üksus,viru-nigula valla spordikeskus,75005972,59.499144,26.51016,lääne-virumaa,60,viru-nigula,kunda linn,3612,232,9087,staadion,rahuldav,"jalgpall, kergejõustik",0.0,1970.0,40.0
5301,kunda rannajalgpalliplats,kunda ranna spordiväljakud,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,viru-nigula vallavalitsus,75020500,kohaliku omavalitsuse üksus,viru-nigula valla spordikeskus,75005972,59.52033214,26.53793327,lääne-virumaa,60,viru-nigula,kunda linn,3612,0,10970,kunda rannajalgpalliplats,väga hea,rannajalgpall,0.0,2021.0,200.0
4259,kunda spordikeskuse liivaväljak,kunda spordikeskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,viru-nigula vallavalitsus,75020500,kohaliku omavalitsuse üksus,viru-nigula valla spordikeskus,75005972,59.49834991,26.51149762,lääne-virumaa,60,viru-nigula,kunda linn,3612,232,9130,liivaväljak,hea,"rannajalgpall, rannavõrkpall",0.0,2013.0,40.0
1298,kuremaa ujula miniareena,kuremaa ujula,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,jõgeva vallavalitsus,77000401,sihtasutus,sihtasutus kuremaa elamuskeskus,90007626,58.736032,26.540013,jõgevamaa,50,jõgeva,kuremaa alevik,3642,0,3796,miniareena,väga hea,"jalgpall, korvpall, tennis, käsipall",0.0,2010.0,40.0
2392,kuressaare hariduse kooli pallimängude väljakud,kuressaare hariduse kool,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,58.259938,22.489336,saaremaa,74,saaremaa,kuressaare linn,3655,0,3205,multifunktsionaalne palliväljak,väga hea,"korvpall, jalgpall",2017.0,1985.0,0.0
1181,kuressaare ida-niidu kunstmuruväljak,saaremaa spordikool,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,58.25930493,22.5092373,saaremaa,74,saaremaa,kuressaare linn,3655,0,2513,ida-niidu kunstmuruväljak,rahuldav,jalgpall,2016.0,2001.0,8.0
1589,kuressaare jalgpallistaadion,saaremaa spordikool,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,58.25072269,22.50034905,saaremaa,74,saaremaa,kuressaare linn,3655,0,2507,kunstmurukattega jalgpalliväljak,väga hea,jalgpall,2016.0,2002.0,60.0
1182,kuressaare linnastaadion,saaremaa spordikool,staadion,kinnisasi,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,58.24195,22.47998,saaremaa,74,saaremaa,kuressaare linn,3655,165,2512,staadion,hea,"kergejõustik, jalgpall, petank",2014.0,1954.0,60.0
1187,kuressaare rannaala rannavolle väljakud,saaremaa spordikool,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,58.245354,22.477373,saaremaa,74,saaremaa,kuressaare linn,3655,2,7673,kuressaare rannaala rannavolle väljakud,hea,"rannavõrkpall, rannajalgpall",2021.0,1975.0,40.0
3413,kuressaare rohu lasteaia spordiväljak,0,"muu vabas õhus asuv spordiobjekt, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,kohaliku omavalitsuse üksus,kuressaare rohu lasteaed,75023303,58.25652,22.486433,saaremaa,74,saaremaa,kuressaare linn,3655,0,7466,multifunktsionaalne palliväljak,hea,"korvpall, jalgpall, tennis",0.0,2015.0,0.0
5480,kurtna jalgpalliplats,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,alutaguse vallavalitsus,77000281,kohaliku omavalitsuse üksus,alutaguse vallavalitsus,77000281,59.27167164,27.51501011,ida-virumaa,45,alutaguse,kurtna küla,3696,0,11281,kurtna jalgpalliplats,rahuldav,jalgpall,0.0,2020.0,3.0
229,kurtna kooli staadion,kurtna kool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,saku vallavalitsus,75019738,kohaliku omavalitsuse üksus,kurtna kool,75019750,59.230383,24.720976,harjumaa,37,saku,kurtna küla,3697,30,6847,staadion,hea,"jalgpall, kergejõustik",0.0,2008.0,10.0
2408,kuusalu multifunktsionaalne palliväljak,kuusalu spordikeskus,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kuusalu vallavalitsus,75033496,kohaliku omavalitsuse üksus,kuusalu keskkool,75022574,59.45174,25.416505,harjumaa,37,kuusalu,kuusalu küla,3718,0,10761,multifunktsionaalne palliväljak,väga hea,"korvpall, võrkpall, tennis, jalgpall",2020.0,1981.0,0.0
1022,kuusalu spordikeskus,kuusalu spordikeskus,"muu hoones asuv spordiobjekt, siseujula, võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,kuusalu vallavalitsus,75033496,kohaliku omavalitsuse üksus,kuusalu keskkool,75022574,59.45163525,25.41914127,harjumaa,37,kuusalu,kuusalu küla,3718,108,490,pallimängude saal,väga hea,"võrkpall, karate, tennis, korvpall, saalijalgpall",0.0,2008.0,200.0
1017,kuusalu staadion,kuusalu spordikeskus,staadion,kinnisasi,kohaliku omavalitsuse üksus,kuusalu vallavalitsus,75033496,kohaliku omavalitsuse üksus,kuusalu keskkool,75022574,59.450919,25.415346,harjumaa,37,kuusalu,kuusalu küla,3718,0,1141,staadion,hea,"jalgpall, kergejõustik",2006.0,1981.0,0.0
2655,kuusiku spordiplats,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,rapla vallavalitsus,77000312,kohaliku omavalitsuse üksus,rapla vallavalitsus,77000312,58.970384,24.724131,raplamaa,71,rapla,kuusiku alevik,3720,0,5413,jalgpalliväljak,mitterahuldav,jalgpall,2023.0,1970.0,20.0
4724,külitse liivaranna spordiväljakud,0,"muu vabas õhus asuv spordiobjekt, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,kambja vallavalitsus,77000275,kohaliku omavalitsuse üksus,kambja vallavalitsus,77000275,58.321523,26.614097,tartumaa,79,kambja,külitse alevik,3986,0,9950,jalgpalliväljak,rahuldav,jalgpall,0.0,2019.0,10.0
217,käina kooli staadion,käina kool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,käina kool,75011228,58.832616,22.783778,hiiumaa,39,hiiumaa,käina alevik,3869,0,3963,käina kooli staadion,väga hea,"jalgpall, kergejõustik",2017.0,1965.0,20.0
322,kärdla kooli võimla,0,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,kärdla kool,75009800,58.99818,22.750824,hiiumaa,39,hiiumaa,kärdla linn,3895,40,2224,kärdla kooli võimla,hea,"tennis, võrkpall, korvpall, orienteerumine, kergejõustik, saalijalgpall",2012.0,1985.0,20.0
3184,kärdla kunstmurukattega jalgpalliväljak,hiiumaa sport,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,kärdla osavalla valitsus,77000513,58.993598,22.757143,hiiumaa,39,hiiumaa,kärdla linn,3895,0,6899,kärdla kunstmurukattega jalgpalliväljak,väga hea,jalgpall,0.0,2014.0,0.0
4278,kärdla lasteaia minijalgpalliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,59.000453,22.747518,hiiumaa,39,hiiumaa,kärdla linn,3895,0,9175,kärdla lasteaia minijalgpalliväljak,väga hea,jalgpall,0.0,2015.0,20.0
325,kärdla mängudemaja,hiiumaa sport,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,kärdla osavalla valitsus,77000513,58.99375136,22.75759113,hiiumaa,39,hiiumaa,kärdla linn,3895,40,2151,liikumissaal,hea,"aeroobika, orienteerumine, saalijalgpall, karate",2019.0,1990.0,20.0
327,kärdla staadion,hiiumaa sport,staadion,kinnisasi,kohaliku omavalitsuse üksus,hiiumaa vallavalitsus,77000424,kohaliku omavalitsuse üksus,hiiumaa sport,77001228,58.996069,22.751108,hiiumaa,39,hiiumaa,kärdla linn,3895,20,2164,staadion,väga hea,"kergejõustik, jalgpall",2017.0,1960.0,20.0
120,kärla tervisekompleks,kärla tervisekompleks,"muu spordiplats, sportliku liikumise püsirada, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,saaremaa vallavalitsus,77000306,mittetulundusühing,spordiklubi kärla,80073852,58.330394,22.251198,saaremaa,74,saaremaa,kärla alevik,3916,0,547,kärla tervisekompleksi spordiväljak,hea,"jalgpall, kergejõustik",2012.0,2009.0,20.0
171,käru põhikooli staadion ja palliväljakud,käru põhikool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,türi vallavalitsus,75033460,kohaliku omavalitsuse üksus,käru põhikool,75026537,58.83319445,25.14805123,järvamaa,52,türi,käru alevik,3931,0,33,staadion,rahuldav,"kergejõustik, jalgpall",0.0,2005.0,0.0
979,kääpa põhikooli spordiväljak,kääpa põhikool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,kääpa põhikool,75000934,57.862941,27.105954,võrumaa,87,võru vald,kääpa küla,3944,0,3323,staadion,mitterahuldav,"kergejõustik, jalgpall",2009.0,1950.0,20.0
4289,kääriku spordikeskuse kunstmuru jalgpalliväljak,kääriku spordikeskus,välispalliväljak,kinnisasi,riiklik üksus,tartu ülikool,74001073,sihtasutus,sihtasutus tehvandi spordikeskus,90007715,58.005721,26.388711,valgamaa,81,otepää,kääriku küla,3954,60,9193,jalgpalliväljak,väga hea,jalgpall,0.0,2018.0,80.0
3634,kääriku spordikeskuse rannamängude väljak,kääriku spordikeskus,välispalliväljak,kinnisasi,riiklik üksus,tartu ülikool,74001073,sihtasutus,sihtasutus tehvandi spordikeskus,90007715,58.003812,26.391315,valgamaa,81,otepää,kääriku küla,3954,60,8021,rannavõrkpalli- ja rannajalgpalliväljak,väga hea,"rannajalgpall, rannavõrkpall",0.0,2015.0,50.0
3631,kääriku spordikeskuse staadion,kääriku spordikeskus,"muu spordiplats, muu vabas õhus asuv spordiobjekt, staadion",kinnisasi,riiklik üksus,tartu ülikool,74001073,sihtasutus,sihtasutus tehvandi spordikeskus,90007715,58.00032532,26.39662743,valgamaa,81,otepää,kääriku küla,3954,60,8002,staadion,väga hea,"jalgpall, kergejõustik",2020.0,1964.0,30.0
