rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad
156,habaja spordiplats,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,kohaliku omavalitsuse üksus,kose vallavalitsus,75011547,59.106051,25.170225,harjumaa,37,kose,habaja alevik,1708,0,4310,jalgpalliväljak,rahuldav,jalgpall,0.0,1996.0,0.0
2654,hagudi põhikooli staadion,hagudi põhikool,staadion,kinnisasi,kohaliku omavalitsuse üksus,rapla vallavalitsus,77000312,kohaliku omavalitsuse üksus,hagudi põhikool,75027755,59.06282073,24.8102267,raplamaa,71,rapla,hagudi alevik,1716,30,5191,staadion ,rahuldav,"jalgpall, kergejõustik",0.0,1960.0,30.0
2653,hagudi põhikooli võimla,hagudi põhikool,"muu hoones asuv spordiobjekt, võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,rapla vallavalitsus,77000312,kohaliku omavalitsuse üksus,hagudi põhikool,75027755,59.06460019,24.80849023,raplamaa,71,rapla,hagudi alevik,1716,30,5419,võimla,hea,"korvpall, võrkpall, sulgpall, harrastusvõimlemine, saalihoki, saalijalgpall",0.0,1998.0,30.0
799,haljala kooli staadion,haljala kool,staadion,kinnisasi,kohaliku omavalitsuse üksus,haljala vallavalitsus,75013144,kohaliku omavalitsuse üksus,haljala kool,75013167,59.430134,26.262163,lääne-virumaa,60,haljala,haljala alevik,1739,0,3712,staadion ,rahuldav,"jalgpall, kergejõustik",0.0,2005.0,0.0
78,halliste pallimänguplatsid,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,mulgi vallavalitsus,77000453,kohaliku omavalitsuse üksus,mulgi vallavalitsus,77000453,58.163624,25.435973,viljandimaa,84,mulgi,halliste alevik,1749,0,11712,jalgpalliväljak,rahuldav,jalgpall,2021.0,1980.0,0.0
71,halliste põhikooli staadion,halliste põhikool,staadion,kinnisasi,kohaliku omavalitsuse üksus,mulgi vallavalitsus,77000453,kohaliku omavalitsuse üksus,mulgi vallavalitsus,77000453,58.154081,25.435281,viljandimaa,84,mulgi,pornuse küla,6335,0,3915,staadion,väga hea,"jalgpall, kergejõustik",2005.0,1999.0,10.0
317,hargla kooli staadion,0,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,valga vallavalitsus,77000507,kohaliku omavalitsuse üksus,hargla kool,75034330,57.614073,26.414083,valgamaa,81,valga,hargla küla,1766,4,4126,staadion ,mitterahuldav,"kergejõustik, jalgpall",2011.0,1965.0,20.0
5174,harju-risti multifunktsionaalne palliväljak,risti kool (harjumaa),välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,kohaliku omavalitsuse üksus,lääne-harju spordikeskus,75037765,59.22493675,24.01843071,harjumaa,37,lääne-harju,harju-risti küla,1771,0,10752,harju-risti multifunktsionaalne palliväljak,väga hea,"jalgpall, korvpall, võrkpall, käsipall",0.0,2020.0,0.0
158,harmi spordisaal,harmi spordiobjektid,"võimla, spordihall, spordisaal",kinnisasi,osaühing,baltic home rental oü,14199488,osaühing,haraka consult oü,14947795,59.11917,25.204058,harjumaa,37,kose,harmi küla,1779,30,10325,spordisaal,rahuldav,"aeroobika ja rühmatreeningud, harrastusvõimlemine, judo, korvpall, tennis, saalijalgpall, kergejõustik, võrkpall, saalihoki",0.0,1998.0,20.0
157,harmi staadion,harmi spordiobjektid,staadion,kinnisasi,osaühing,baltic home rental oü,14199488,osaühing,haraka consult oü,14947795,59.119495,25.204439,harjumaa,37,kose,harmi küla,1779,30,2234,staadion,rahuldav,"kergejõustik, jalgpall",0.0,1998.0,20.0
4184,haven kakumäe rannaspordiareen,haven kakumäe,välispalliväljak,kinnisasi,osaühing,haven kakumäe oü,12816793,osaühing,nordic beach oü,12649579,59.450869,24.60224,harjumaa,37,tallinn,haabersti linnaosa,176,8,10238,multifunktsionaalne palliväljak,väga hea,"rannajalgpall, rannavõrkpall",0.0,2017.0,100.0
4921,heimtali põhikooli staadion ja spordiväljakud,heimtali põhikool,"muu vabas õhus asuv spordiobjekt, staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,viljandi vallavalitsus,75038606,kohaliku omavalitsuse üksus,heimtali põhikool,75005601,58.3233868,25.50179915,viljandimaa,84,viljandi vald,heimtali küla,1794,0,10341,staadion,väga hea,"jalgpall, kergejõustik",0.0,2020.0,0.0
335,heino lipu staadion,jõhvi spordihall,staadion,kinnisasi,kohaliku omavalitsuse üksus,jõhvi vallavalitsus,75033483,kohaliku omavalitsuse üksus,jõhvi sport,77001748,59.35039897,27.41774702,ida-virumaa,45,jõhvi,jõhvi linn,2270,0,10711,heino lipu staadion,väga hea,"jalgpall, kergejõustik",2022.0,1970.0,0.0
299,hellamaa spordiväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,muhu vallavalitsus,75018710,kohaliku omavalitsuse üksus,hellamaa külakeskus,75027123,58.611945,23.295704,saaremaa,74,muhu,hellamaa küla,1808,0,550,jalgpalliväljak,rahuldav,jalgpall,0.0,2009.0,20.0
