org_id,nimi,registrikood,maakond,maakond_kood,kov,kov_kood,kaart_laius,kaart_pikkus,sports,location_name,location_address
5948,#teampinkpurple disc golf mtü,80409045,hiiumaa,39,hiiumaa,205,58.999830604063,22.729827811749,lennuketta sport,paluküla tervisespordikeskuse liikumisrajad,"suusamäe, hausma küla, hiiumaa vald, hiiu maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7 fitness pärnu,"lai tn 11, pärnu linn, pärnu linn, pärnu maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness avala,"veskiposti tn 2, kesklinna linnaosa, tallinn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness kuressaare,"merikotka tn 1, kuressaare linn, saaremaa vald, saare maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness laki,"laki põik 4, mustamäe linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness mustamäe tee,"mustamäe tee 4, kristiine linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness peetri,"küti tee 4, peetri alevik, rae vald, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness priisle,"priisle tee 16, lasnamäe linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness rakvere,"f. g. adoffi tn 11, rakvere linn, lääne-viru maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness tõnismägi,"tõnismägi 11a, kesklinna linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness tähesaju,"tähesaju tee 11, lasnamäe linnaosa, tallinn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness vabaduse pst,"vabaduse pst 174b, nõmme linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",mustamäe elamuste keskuse spordisaalid,"akadeemia tee 30, mustamäe linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7 fitness pärnu,"lai tn 11, pärnu linn, pärnu linn, pärnu maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness avala,"veskiposti tn 2, kesklinna linnaosa, tallinn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness laki,"laki põik 4, mustamäe linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness mustamäe tee,"mustamäe tee 4, kristiine linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness peetri,"küti tee 4, peetri alevik, rae vald, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness priisle,"priisle tee 16, lasnamäe linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness tõnismägi,"tõnismägi 11a, kesklinna linnaosa, tallinna linn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",24-7fitness tähesaju,"tähesaju tee 11, lasnamäe linnaosa, tallinn, harju maakond"
7258,24-7fitnessklubi oü,14045006,harjumaa,37,tallinn,784,59.411224815176,24.671721206262,"kulturism ja fitness, võimlemine",mustamäe elamuste keskuse spordisaalid,"akadeemia tee 30, mustamäe linnaosa, tallinna linn, harju maakond"
7158,a.r pro ski team,80585084,valgamaa,81,otepää,557,58.047226356618,26.478355285165,suusasport,tehvandi spordikeskuse suusarajad,"olümpiakeskus tehvandi, otepää linn, otepää vald, valga maakond"
619,abja korvpalliklubi,80257658,viljandimaa,84,mulgi,480,58.126233213566,25.363848283425,korvpall,abja spordi- ja tervisekeskuse jõusaal abiruumidega,"abja tee 15, abja-paluoja linn, mulgi vald, viljandi maakond"
