rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad,normalized_lockers,normalized_parking,normalized_renovation,normalized_start,normalized_condition,facilities_scores
489,tallinna kesklinna vene gümnaasiumi juhkentali tn spordisaalid,tallinna kesklinna vene gümnaasium,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna kesklinna vene gümnaasium,75017716,59.426657,24.769047,harjumaa,37,tallinn,kesklinna linnaosa,298,40,450,spordisaal,väga hea,"korvpall, võrkpall",2009.0,1963.0,13.0,0.02666666666666667,0.007549361207897794,0.8529411764705882,0.49166666666666664,1.0,0.518254919040787
491,tallinna kesklinna vene gümnaasiumi juhkentali tn spordiväljak,tallinna kesklinna vene gümnaasium,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna kesklinna vene gümnaasium,75017716,59.426745,24.768221,harjumaa,37,tallinn,kesklinna linnaosa,298,40,5107,jooksusirge,hea,kergejõustik,2009.0,1963.0,13.0,0.02666666666666667,0.007549361207897794,0.8529411764705882,0.49166666666666664,0.8,0.4382549190407871
5814,tallinna kesklinna vene gümnaasiumi kreutzwaldi tn jõulinnak,tallinna kesklinna vene gümnaasium,muu vabas õhus asuv spordiobjekt,kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna kesklinna vene gümnaasium,75017716,59.43270498,24.76801094,harjumaa,37,tallinn,kesklinna linnaosa,298,6,11911,tallinna kesklinna vene gümnaasiumi kreutzwaldi tn jõulinnak,väga hea,"harrastusvõimlemine, kulturism ja fitness",2019.0,2019.0,20.0,0.004,0.011614401858304297,0.9509803921568627,0.9583333333333334,1.0,0.5447954259752682
501,tallinna kivimäe põhikooli saal,tallinna kivimäe põhikool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna kivimäe põhikool,75016645,59.375295,24.644587,harjumaa,37,tallinn,nõmme linnaosa,524,20,11413,tallinna kivimäe põhikooli saal,mitterahuldav,"aeroobika ja rühmatreeningud, harrastusvõimlemine",1999.0,1932.0,0.0,0.013333333333333334,0.0,0.7549019607843137,0.23333333333333334,0.4,0.2511568627450981
502,tallinna kivimäe põhikooli spordiväljakud,tallinna kivimäe põhikool,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna kivimäe põhikool,75016645,59.375038,24.644126,harjumaa,37,tallinn,nõmme linnaosa,524,0,11414,jooksusirge,hea,kergejõustik,2020.0,1962.0,0.0,0.0,0.0,0.9607843137254902,0.48333333333333334,0.8,0.44024509803921574
4493,tallinna koidu spordipark,0,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,tallinna kesklinna valitsus,75014221,kohaliku omavalitsuse üksus,tallinna kesklinna valitsus,75014221,59.421556,24.737786,harjumaa,37,tallinn,kesklinna linnaosa,298,0,9527,rulapark,väga hea,"bmx-vabastiil, rulasport, muud rulluisutamise alad",2018.0,2018.0,0.0,0.0,0.0,0.9411764705882353,0.95,1.0,0.5416176470588235
1526,tallinna konstantin pätsi vabaõhukooli spordisaal,tallinna konstantin pätsi vabaõhukool,"võimla, spordihall, spordisaal",kinnisasi,-,haridus- ja teadusministeerium,70000740,-,tallinna konstantin pätsi vabaõhukool,70003885,59.463023,24.875396,harjumaa,37,tallinn,pirita linnaosa,596,49,4077,spordisaal,väga hea,"korvpall, võrkpall, sulgpall, saalihoki, saalijalgpall",2015.0,1963.0,15.0,0.03266666666666666,0.008710801393728223,0.9117647058823529,0.49166666666666664,1.0,0.525995343991255
4525,tallinna konstantin pätsi vabaõhukooli spordiväljakud,tallinna konstantin pätsi vabaõhukool,"muu vabas õhus asuv spordiobjekt, välispalliväljak",kinnisasi,-,haridus- ja teadusministeerium,70000740,-,tallinna konstantin pätsi vabaõhukool,70003885,59.464083,24.874712,harjumaa,37,tallinn,pirita linnaosa,596,0,9641,jalgpalliväljak,väga hea,jalgpall,2015.0,2015.0,0.0,0.0,0.0,0.9117647058823529,0.925,1.0,0.5374264705882353
5120,tallinna kotka tn jõulinnak,0,muu vabas õhus asuv spordiobjekt,kinnisasi,kohaliku omavalitsuse üksus,kristiine linnaosa valitsus,75014238,kohaliku omavalitsuse üksus,kristiine linnaosa valitsus,75014238,59.41641826,24.7306931,harjumaa,37,tallinn,kristiine linnaosa,339,0,10633,tallinna kotka tn jõulinnak,hea,"kulturism ja fitness, harrastusvõimlemine",2019.0,2019.0,0.0,0.0,0.0,0.9509803921568627,0.9583333333333334,0.8,0.463014705882353
503,tallinna kristiine gümnaasiumi spordisaalid,tallinna kristiine gümnaasium,"võimla, spordihall, spordisaal",hoonestusõigus,osaühing,vivatex holding oü,11271707,kohaliku omavalitsuse üksus,tallinna kristiine gümnaasium,75016533,59.418024,24.720536,harjumaa,37,tallinn,kristiine linnaosa,339,91,237,spordisaal,väga hea,"korvpall, võrkpall, akrobaatiline võimlemine",2008.0,1963.0,21.0,0.06066666666666667,0.012195121951219513,0.8431372549019608,0.49166666666666664,1.0,0.5277068149210904
