org_id,nimi,registrikood,maakond,maakond_kood,kov,kov_kood,kaart_laius,kaart_pikkus,location_name,location_address
81,adavere spordiklubi,80112670,jõgevamaa,50,põltsamaa,618,58.704945624159,25.89207866737,põltsamaa ühisgümnaasiumi adavere õppekoha võimla,"kooli tn 1, adavere alevik, põltsamaa vald, jõgeva maakond"
3307,aegviidu spordiklubi,80296701,harjumaa,37,anija,141,6.5709715223463,20.776128786941,aegviidu spordihoone spordiväljakud,"pärna tn 1, aegviidu alev, anija vald, harju maakond"
3307,aegviidu spordiklubi,80296701,harjumaa,37,anija,141,6.5709715223463,20.776128786941,sportland kõrvemaa matka- ja suusakeskus,"oja, pillapalu küla, anija vald, harju maakond"
3307,aegviidu spordiklubi,80296701,harjumaa,37,anija,141,6.5709715223463,20.776128786941,aegviidu spordihoone spordiväljakud,"pärna tn 1, aegviidu alev, anija vald, harju maakond"
7643,aero purjetajate liit,80609821,harjumaa,37,tallinn,784,59.466753519807,24.826523274623,0,0
4176,aero sport association,80328430,harjumaa,37,keila,296,59.309987858849,24.408363593211,0,0
7373,aerulauaklubi supster,80599241,harjumaa,37,tallinn,784,59.445213416668,24.687561792705,0,0
7485,agg violett mtü,80598922,tartumaa,79,tartu linn,793,58.360132239634,26.795613570522,0,0
7342,agm racing est mtü,80595065,lääne-virumaa,60,väike-maarja,928,59.129793304686,26.241544642107,0,0
6555,agribasket spordiklubi mtü,80553411,lääne-virumaa,60,rakvere linn,663,59.33536746518,26.373917817139,rakvere rahu hall,"rahu tn 15, rakvere linn, lääne-viru maakond"
6555,agribasket spordiklubi mtü,80553411,lääne-virumaa,60,rakvere linn,663,59.33536746518,26.373917817139,rakvere spordihall,"kastani pst 12, rakvere linn, lääne-viru maakond"
5059,aidu spordiklubi,80363946,ida-virumaa,45,lüganuse,442,59.33635158827,27.011136195332,aidu veespordikeskuse sõudekanal,"kanali, aidu küla, lüganuse vald, ida-viru maakond"
4856,aikidoklubi agatsu,80360818,harjumaa,37,tallinn,784,59.409762320254,24.708117392772,kristiine spordimaja,"kännu tn 86, kristiine linnaosa, tallinna linn, harju maakond"
2283,aikidoklubi musubi,80228020,harjumaa,37,tallinn,784,59.44697015009,24.875771365189,sisekaitseakadeemia spordikeskus,"kase tn 61, pirita linnaosa, tallinna linn, harju maakond"
6137,aitado judokool mtü,80410634,harjumaa,37,tallinn,784,59.40431310571,24.717906016412,kristiine judokeskus,"sõjakooli tn 3, kristiine linnaosa, tallinn, harju maakond"
4158,akrobaatikaklubi tirel,80325727,pärnumaa,68,pärnu,624,58.370106734961,24.541026321646,paikuse spordi- ja tervisekeskuse spordisaalid,"paide mnt 19, paikuse alev, pärnu linn, pärnu maakond"
