rajatisid,rajatisnimi,kompleks,liik,omandiliik,ehstaatus,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad
4984,Kaerepere orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,58.956914,24.85823,Raplamaa,71,,,,,10474,Kaerepere orienteerumiskaart,,Orienteerumine
5153,Kaerepere rula- ja mänguväljak,Valtu Spordimaja,"Muu spordiplats, Muu vabas õhus asuv spordiobjekt, Välispalliväljak",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Kehtna Vallavalitsus,77000252,Mittetulundusühing,Arendusselts Koduaseme,80254803 ,58.96240957,24.84087288,Raplamaa,71,Kehtna,Kaerepere alevik,2496,0,10715,Rulapark,Väga hea,"BMX-vabastiil, Rulasport, muud rulluisutamise alad"
2819,Kahtla Lasteaed-Põhikooli spordiväljakud,Kahtla Lasteaed-Põhikool,"Muu vabas õhus asuv spordiobjekt, Välispalliväljak",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Saaremaa Vallavalitsus,77000306,Kohaliku omavalitsuse üksus,Saaremaa Vallavalitsus,77000306,58.403449,22.999535,Saaremaa,74,Saaremaa,Kahtla küla,2517,0,8185,Jalgpalliväljak,Mitterahuldav,jalgpall
2818,Kahtla Lasteaed-Põhikooli võimla,Kahtla Lasteaed-Põhikool,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Saaremaa Vallavalitsus,77000306,Kohaliku omavalitsuse üksus,Saaremaa Vallavalitsus,77000306,58.40356168,22.99814575,Saaremaa,74,Saaremaa,Kahtla küla,2517,20,5734,Võimla,Rahuldav,"aeroobika ja rühmatreeningud, Koroona ja novus, Korvpall, harrastusvõimlemine"
339,Kahula küla spordiväljakud,,Välispalliväljak,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Jõhvi Vallavalitsus,75033483,Mittetulundusühing,Kahula Küla Selts,80204426,59.325118,27.336903,Ida-Virumaa,45,Jõhvi,Kahula küla,2520,30,5973,Kahula küla korvpalliplats,Rahuldav,Korvpall
4351,Kaibaldi orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,58.9786,22.6573,Hiiumaa,39,,,,,9286,Kaibaldi orienteerumiskaart,,Orienteerumine
1928,Kaitseliidu Männiku lasketiir,,"Muu vabas õhus asuv spordiobjekt, Sisetiir, Välitiir",Kinnisasi,Spordialases kasutuses,Riiklik üksus,Kaitseliit,74000725,Riiklik üksus,Kaitseliit,74000725,59.336796,24.693095,Harjumaa,37,Saku,Männiku küla,5260,40,3580,300m t/k lasketiir,Hea,laskmine
3811,Kaitseliidu Saaremaa maleva lasketiir,,Sisetiir,Kinnisasi,Spordialases kasutuses,Riiklik üksus,Kaitseliit,74000725,Riiklik üksus,Kaitseliit,74000725,58.26494727,22.50465392,Saaremaa,74,Saaremaa,Kuressaare linn,3655,12,8352,Kaitseliidu Saaremaa maleva lasketiir,Väga hea,laskmine
5217,Kaiu discgolfi park,Kaiu Kool,Muu vabas õhus asuv spordiobjekt,Muu,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,Füüsiline isik,Dan Heinleht,39403212017,59.0134431,25.04901524,Raplamaa,71,Rapla,Kaiu alevik,2553,0,10845,Kaiu discgolfi park,Hea,discgolf
1157,Kaiu huvikeskuse jõusaal,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,59.01408724,25.05339526,Raplamaa,71,Rapla,Kaiu alevik,2553,20,3737,Kaiu huvikeskuse jõusaal,Väga hea,"jõutõstmine, Kulturism ja fitness, Tõstesport"
1154,Kaiu Kooli võimla,Kaiu Kool,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,Kohaliku omavalitsuse üksus,Kaiu Kool,75025420,59.014028,25.050969,Raplamaa,71,Rapla,Kaiu alevik,2553,20,3961,Võimla,Rahuldav,"Korvpall, aeroobika, harrastusvõimlemine"
1925,Kaiu Lasketiir,,"Sisetiir, Välitiir",Kinnisasi,Spordialases kasutuses,Riiklik üksus,Kaitseliit,74000725,Riiklik üksus,Kaitseliit,74000725,59.01408707,25.04785923,Raplamaa,71,Rapla,Kaiu alevik,2553,0,4550,Kaiu lasketiiru 10m tiir,Hea,laskmine
4946,Kaiu miniarena,Kaiu Kool,Välispalliväljak,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,59.01394152,25.04942652,Raplamaa,71,Rapla,Kaiu alevik,2553,20,10402,Mini-spordiväljak,Hea,"Korvpall, jalgpall"
1153,Kaiu Skatepark,Kaiu Kool,Muu spordiplats,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,59.014061,25.049016,Raplamaa,71,Rapla,Kaiu alevik,2553,0,3736,Kaiu Skatepark,Hea,"BMX-vabastiil, Rulasport, muud rulluisutamise alad"
1151,Kaiu staadion ja palliväljakud,Kaiu Kool,"Staadion, Välispalliväljak",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,59.0148105,25.04944798,Raplamaa,71,Rapla,Kaiu alevik,2553,20,3735,Staadion ,Hea,"jalgpall, Kergejõustik"
1156,Kaiu tervise- ja spordirada,,Sportliku liikumise püsirada,Muu,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,Kohaliku omavalitsuse üksus,Rapla Vallavalitsus,77000312,59.012608,25.053924,Raplamaa,71,Rapla,Kaiu alevik,2553,0,3979,Kaiu suusarada,Hea,murdmaasuusatamine
2876,Kajamaa Kooli aula-spordisaal,Kajamaa Kool,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Saku Vallavalitsus,75019738,Kohaliku omavalitsuse üksus,Kajamaa Kool,75035370,59.27512101,24.71876581,Harjumaa,37,Saku,Kajamaa küla,2552,0,11395,Kajamaa Kooli aula-spordisaal,Rahuldav,"Korvpall, harrastusvõimlemine"
2877,Kajamaa Kooli palliväljak,Kajamaa Kool,Välispalliväljak,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Saku Vallavalitsus,75019738,Kohaliku omavalitsuse üksus,Kajamaa Kool,75035370,59.27457885,24.71851382,Harjumaa,37,Saku,Kajamaa küla,2552,0,9567,Multifunktsionaalne palliväljak,Rahuldav,"Korvpall, jalgpall"
1401,Kajamaa Viburada,,Välitiir,Kinnisasi,Spordialases kasutuses,Füüsiline isik,Katrin Virula,47010244224,Mittetulundusühing,Mittetulundusühing Kajamaa Spordiklubi,80185433,59.271102,24.711492,Harjumaa,37,Saku,Kajamaa küla,2552,10,551,Vibu- või ammutiir,Väga hea,"Maastikuvibu laskmine, Vibusport"
