rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad,normalized_lockers,normalized_parking,normalized_renovation,normalized_start,normalized_condition,facilities_scores
3608,vasalemma põhikooli õppe- ja spordihoone,vasalemma põhikool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,59.22942748,24.25017669,harjumaa,37,lääne-harju,lemmaru küla,4263,40,7948,spordisaal,väga hea,"võrkpall, korvpall, saalijalgpall",2014.0,2014.0,15.0,0.02666666666666667,0.008710801393728223,0.9019607843137255,0.9166666666666666,1.0,0.635396324383412
4269,vasalemma rallikrossirada,0,"tehnikaspordi püsirada, v.a veemotorada",kinnisasi,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,59.232342,24.281013,harjumaa,37,lääne-harju,vasalemma alevik,9101,0,10049,vasalemma rallikrossirada,rahuldav,"autokross, motokross",1980.0,1980.0,200.0,0.0,0.11614401858304298,0.5686274509803921,0.6333333333333333,0.49999999999999994,0.35443465190954426
4922,vasalemma rannavõrkpalliplats,vasalemma terviserada,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,kohaliku omavalitsuse üksus,lääne-harju spordikeskus,75037765,59.237202,24.283293,harjumaa,37,lääne-harju,vasalemma alevik,9101,0,10345,vasalemma rannavõrkpalliplats,hea,rannavõrkpall,2017.0,2017.0,0.0,0.0,0.0,0.9313725490196079,0.9416666666666667,0.7500000000000001,0.5338725490196079
145,vasalemma staadion ja multifunktsionaalne palliväljak,vasalemma põhikool,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,kohaliku omavalitsuse üksus,lääne-harju spordikeskus,75037765,59.22874722,24.24803889,harjumaa,37,lääne-harju,lemmaru küla,4263,170,1066,staadion,väga hea,"kergejõustik, jalgpall",2021.0,1971.0,10.0,0.11333333333333333,0.005807200929152149,0.9705882352941176,0.5583333333333333,1.0,0.6357119286739086
2941,vasalemma tenniseväljak,0,tenniseplats,kinnisasi,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,59.244102,24.290299,harjumaa,37,lääne-harju,vasalemma alevik,9101,0,6256,vasalemma tenniseväljak,rahuldav,tennis,1999.0,1999.0,2.0,0.0,0.0011614401858304297,0.7549019607843137,0.7916666666666666,0.49999999999999994,0.3924600327936052
4551,vasalemma terviserada,vasalemma terviserada,sportliku liikumise püsirada,muu,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,kohaliku omavalitsuse üksus,lääne-harju vallavalitsus,77000200,59.236173,24.274339,harjumaa,37,lääne-harju,vasalemma alevik,9101,0,9671,vasalemma terviserada,hea,tervisejooks ja -kõnd,2014.0,2014.0,20.0,0.0,0.011614401858304297,0.9019607843137255,0.9166666666666666,0.7500000000000001,0.5275415044066407
1615,vaskrääma külaväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,pärnu linnavalitsus,75000064,kohaliku omavalitsuse üksus,pärnu linnavalitsus,75000064,58.31102897,24.69080842,pärnumaa,68,pärnu,vaskrääma küla,9113,0,9974,korvpalliplats,väga hea,korvpall,2019.0,1991.0,10.0,0.0,0.005807200929152149,0.9509803921568627,0.725,1.0,0.615437418869987
2682,vastemõisa jalgpalliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,põhja-sakala vallavalitsus,77000463,kohaliku omavalitsuse üksus,põhja-sakala vallavalitsus,77000463,58.441496,25.438778,viljandimaa,84,põhja-sakala,vastemõisa küla,9123,0,5224,vastemõisa jalgpalliväljak,rahuldav,jalgpall,2008.0,2008.0,0.0,0.0,0.0,0.8431372549019608,0.8666666666666667,0.49999999999999994,0.41313725490196074
2680,vastemõisa palliväljakud,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,põhja-sakala vallavalitsus,77000463,kohaliku omavalitsuse üksus,põhja-sakala vallavalitsus,77000463,58.441215,25.444551,viljandimaa,84,põhja-sakala,vastemõisa küla,9123,0,5206,korvpalliplats,väga hea,korvpall,2006.0,2004.0,25.0,0.0,0.014518002322880372,0.8235294117647058,0.8333333333333334,1.0,0.6075886452141832
4605,vastse-kuuste - leevijõe kergliiklustee,0,muu sportimiseks kasutatav objekt,muu,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,58.16449,26.932193,põlvamaa,64,põlva,vastse-kuuste alevik,9128,0,9774,vastse-kuuste - leevijõe kergliiklustee,väga hea,"tervisejooks ja -kõnd, kiir-rulluisutamine, maanteesõit",2016.0,2016.0,0.0,0.0,0.0,0.9215686274509803,0.9333333333333333,1.0,0.6315686274509804
